Motif,label
Danger of Assumptions,Awareness
Danger of Envy,Emotions
Dangers of Envy and Greed,Emotions
Dangers of Excessive Pride and Self-Conceit,Power
Dangers of Overambition,Power
Dangers of Rationalization,Awareness
Dealing with Loss and Embarrassment,Emotions
Dealings and Contracts,Collaboration
Deception,Growth
Deception and Misrepresentation,Power
Deception and Opportunism,Power
Deception and its Limitations,Awareness
Decision Making,Collaboration
Decisiveness,Growth
Decisiveness and Self-trust,Values
Delayed Gratification,Emotions
Democracy vs Tyranny,Choices
Denial and Reality,Emotions
Dependence and Vulnerability,Awareness
Dependency and Autonomy,Awareness
Desire and Disappointment,Emotions
Desire for Affection and Approval,Emotions
Desire vs Need,Choices
Desperation,Growth
Dichotomy of Need and Want,Emotions
Dignity in Death,Emotions
Discernment,Deception
Discernment and Judgement,Values
Discernment in Accepting Advice,Values
Discrepancy between Appearance and Reality,Power
Disguised Motives,Growth
Dishonesty,Power
Disposal of the Sheep Skin,Deception
Disproportionate Reactions,Power
Disruption of Unity,Awareness
Distractions,Growth
Dominance Hierarchy,Growth
Don't Judge by Appearances,Deception
Effective Communication,Growth
Effort and Persistence,Emotions
Effort and Reward,Emotions
Effort before Aid,Deception
Emotional Intelligence,Collaboration
Emotional Resilience,Values
Empathy,Growth
Empathy and Perspective,Values
Environmental Exploitation,Collaboration
Ethical Dilemma,Awareness
Everyone Has Value,Growth
Exaggerated Actions,Growth
Existential Dangers,Awareness
Expectation vs Reality,Choices
Expectations Based on Roles,Awareness
Experimentation,Growth
Exploitation,Collaboration
Exploitation of Disunity,Power
Exploitation of Vanity,Emotions
Exposure of Secretive Behavior,Awareness
External Influence,Collaboration
Failure of Communication,Awareness
False Comradeship,Deception
False Heroism,Growth
False Intimidation,Growth
False Promises,Growth
False Promises and Excuses,Emotions
False Security,Growth
False Sense of Security,Emotions
False Wisdom,Growth
Familiar Archetypes,Deception
Fatalism and Unavoidable Outcomes,Power
Fear and Acceptance of Death,Emotions
Fear and Hope,Emotions
Fear and Intimidation,Emotions
Fear and Respect,Emotions
Feasibility of Solutions,Awareness
First Impressions,Growth
Flattery as Manipulation,Emotions
Fleeting Beauty,Growth
Flexibility,Growth
Flexibility over Rigidity,Awareness
Foresight,Growth
Foresight and Consequences,Values
Foresight and Prudence,Values
Forgiveness vs Forgetting,Choices
Fragile Nature of Power,Awareness
Freedom as a Reward,Emotions
Freedom vs. Dependence,Choices
Frustration and Resentment,Emotions
Futility of Jealousy,Emotions
Gaining Wisdom from Unfortunate Experiences,Deception
Generosity and Naivety,Emotions
Genuine Friendship and Dependability,Values
Goal Assessment and Attainability,Values
Gratitude,Growth
Gratitude and Contentment,Emotions
Gratitude and Reciprocation,Power
Gratitude for Small Gains,Deception
Greed,Growth
Greed Leading to Loss,Emotions
Greed and Impatience,Emotions
Greed and Risk,Emotions
Gullibility,Deception
"Happiness is in Usage, not Ownership",Awareness
Harmful Competition,Growth
Harmful Effects of Greed,Awareness
Haste Makes Waste,Deception
Hasty Decisions,Growth
Hidden Intentions,Growth
Hidden Value,Growth
Historical Prejudice,Collaboration
Hollow Criticism,Growth
Hospitality and Friendship,Collaboration
Human Behavior,Collaboration
Human Experience,Collaboration
Human Nature,Growth
Human vs. Animal Instincts,Choices
Human-Deity Relationship,Awareness
Humility,Growth
Humility and Divine Will,Values
Humor at the Expense of Others,Deception
Hypocrisy,Power
Idea Implementation and Execution,Collaboration
Identity and Deception,Emotions
Identity and Self-Esteem,Values
Identity and Self-Understanding,Values
Idle Threats,Growth
Illusion of Greener Pastures,Deception
Illusion of More,Emotions
Illusion of Response,Awareness
Illusion of Safety,Emotions
Immediate Action in Face of Threat,Power
Immediate Gratification,Emotions
Immediate Gratification vs Long-term Gain,Power
Impact of Disruption,Awareness
Impact of External Forces on Decision Making,Awareness
Imparting Life Lessons,Deception
Impermanence of Material Wealth,Awareness
Impersonation vs. Transformation,Choices
Implications of Isolation,Awareness
Importance of Early Intervention,Values
Importance of Observation,Awareness
Importance of Patience and Timing,Values
Importance of Perspective,Awareness
Importance of Reconciliation,Awareness
Importance of Self-Awareness,Values
Impression Management,Collaboration
Impressionability and Influence,Values
Impulsivity and its Consequences,Power
Inability to Distinguish Context,Awareness
Incremental Progress,Power
Indirect Criticism of Impulsiveness,Power
Indirect Influence,Growth
Individual Preferences and Values,Values
Individuality,Growth
Individuality vs. Conformity,Choices
Ineffectiveness of Persuasion without Leverage,Awareness
Inequality,Collaboration
Inequality and Unfairness,Values
Inequity of Power Structures,Power
Inevitability of Change,Power
Inevitability of Fate,Power
Inevitability of Truth,Power
Influence of Environment,Awareness
Ingenuity of Threats,Power
Ingratitude,Deception
Ingratitude after Relief,Deception
Inherent Nature,Growth
Injustice,Growth
Innate Nature,Growth
Inner Worth Over External Appearance,Awareness
Innocence and Defenselessness,Values
Insight into Injustice,Emotions
Insight into the Consequences of Actions,Awareness
Instinct and Survival,Emotions
Interdependence in Nature,Power
Internal vs External Solutions,Choices
Interpersonal Relationships,Collaboration
Interplay of Desperation and Ingenuity,Emotions
Intrinsic vs Extrinsic Value,Choices
Ironic Fate,Growth
Irony,Growth
Irony and Cosmic Justice,Emotions
Irony of Actions,Deception
Irony of Perception,Awareness
Irresponsible Leadership,Power
Irreversible Consequences of Division,Power
Judgment and Advice,Values
Judgment based on Perception,Awareness
Just Retribution,Growth
Justice and Retribution,Emotions
Knowing Your Strengths and Limitations,Deception
Knowledge and Experience,Values
Leadership and Influence,Values
Learning from the Young,Deception
Limitations of Solutions,Awareness
Literal vs. Figurative Understanding,Choices
Loneliness and Misbehavior,Power
Loss of Autonomy,Awareness
Loss of Identity and Respect,Values
Loss of Respect,Awareness
Loss of Wealth,Awareness
Love's Blindness,Deception
Love's Transformative Power,Deception
Luck and Self-Reliance,Values
Maintaining Respect in Weakness,Deception
Manipulation,Growth
Manipulation and Control,Emotions
Manipulation and Deception,Emotions
Manipulation and Exploitation,Emotions
Manipulation and Persuasion,Emotions
Manipulation and Vulnerability,Emotions
Manipulation of Circumstances,Emotions
Manipulation of Perception,Awareness
Manipulation of Systems,Collaboration
Manipulation of Trust,Emotions
Manipulation through Praise,Emotions
Materialism and Vanity,Emotions
Memory and Longing,Emotions
Memory of Pain,Emotions
Message of Humility,Deception
Mimicry Can Be Foolish,Deception
Miscommunication and Misunderstanding,Power
Misconceived Perceptions,Power
Misdirected Anger,Deception
Misdirected Effort,Deception
Misguided Retribution,Deception
Misinterpretation and Miscommunication,Power
Misinterpretation of Actions,Power
Misinterpretation of Intent,Power
Misjudgment of Impact,Power
Misleading Signs,Growth
Misperception,Power
Misplaced Assurances,Deception
Misplaced Faith,Deception
Misplaced Hope,Deception
Misplaced Trust,Deception
Misunderstanding Value,Growth
Misunderstanding of Social Signals,Awareness
Misunderstanding of Success,Awareness
Misuse of Opportunities,Power
Misuse of Power,Awareness
Mockery and Humiliation,Emotions
Mockery of Ignorance,Emotions
Moral Complexity,Awareness
Moral Corruption,Growth
Moral Judgement,Awareness
Mutual Understanding,Growth
Natural vs Man-Made,Choices
Nature and Nurture,Values
Nature as an Unexpected Teacher,Deception
Naïveté and Wisdom,Values
Need for Balanced Lifestyle,Values
Need vs Greed,Choices
Neglect Equals Approval,Growth
No Gratitude from the Wicked,Deception
No Small Act of Kindness Is Wasted,Deception
Non-Linear Path to Success,Awareness
Non-Linear Thinking,Awareness
Opportunity Cost,Growth
Overconfidence,Power
Overconfidence and Complacency,Power
Overinterpretation,Power
Overreach and Overconfidence,Power
Painful Realization,Growth
Paradox of Wealth,Awareness
Paralysis through Fear,Emotions
Parental Responsibility,Collaboration
Parental Wisdom,Growth
Patience,Growth
Patience and Frustration,Emotions
Patience and Misplaced Expectations,Deception
Patience and Strategy,Emotions
Paying Off Old Grudges,Deception
Peace as the Ideal Outcome,Awareness
Perceived Social Status and Actual Help,Values
Perceived Threat vs. Actual Threat,Choices
Perception and Reality,Awareness
Perception of Death,Awareness
Perception of Divinity,Awareness
Perception of Freedom,Awareness
Perception of Happiness,Awareness
Perception of Threat,Awareness
Perception of Wealth and Success,Values
Peril of Not Recognizing our Weaknesses,Deception
Perils of Group Think,Deception
Period of Deception,Emotions
Permanent Scars,Growth
Perseverance and Consistency,Values
Persistence,Growth
Persistence and Problem Solving,Values
Perspective and Context,Awareness
Perspective and Interpretation,Collaboration
Persuasion Over Force,Growth
Perverse Satisfaction,Emotions
Pitfalls of Naivety,Power
Pleasure vs Truth,Choices
Power Dynamics,Collaboration
Power Dynamics Can Shift,Awareness
Power Dynamics and Respect,Awareness
Power of Context,Awareness
Power of Early Habits,Awareness
Power of Unity,Awareness
Power of Words,Deception
Power of Words and Signals,Awareness
Practicality,Growth
Practicality Over Passivity,Awareness
Practicality over Appearance,Awareness
Practicality over Extravagance,Power
Pragmatism,Power
Pragmatism and Presence of Mind,Values
Pragmatism vs Imagination,Choices
Predation and Exploitation,Collaboration
Premature Expectations,Growth
Preparation and Vigilance,Values
Present vs Future,Choices
Preservation of Self,Values
Pretext for Harm,Emotions
Pride and Face-saving,Deception
Pride before a Fall,Deception
Problem-Solving and Idea Generation,Values
Promises and Greed,Emotions
Protecting the Innocent,Deception
Prudence,Growth
Public Humiliation and Criticism,Emotions
Public Opinion and Decision-Making,Values
Quality of Life,Values
Quality over Quantity in Relationships,Awareness
Quest for Justice,Deception
Questioning Authority,Growth
Questioning Sources,Growth
Rash Decisions,Growth
Rationalization and Sour Grapes,Awareness
Rationalization of Unfair Advantage,Awareness
Reaction to Frustration,Emotions
Reality Check,Growth
Reality vs Appearance,Choices
Reality vs Illusion,Choices
Reciprocity,Growth
Reciprocity of Actions,Awareness
Reciprocity of Kindness,Deception
Recognize and Act on Threats Early,Values
Recognizing Danger,Growth
Recognizing Shared Experiences,Values
Recognizing Trivialities,Growth
Reconsidering Our Wishes,Deception
Reflection on Leadership and Rule,Values
Reflection on Power,Awareness
Reformation through Kindness,Deception
Refuge and Risk,Collaboration
Relative Satisfaction,Growth
Relativism of Suffering,Awareness
Relativity of Hardships,Awareness
Reliability,Growth
Remembrance,Growth
Repercussions of Distrust,Power
Repercussions of Revenge,Power
Resilience,Values
Resilience and Adaption,Values
Resilience and Self-Reliance,Values
Resilience and Vulnerability,Values
Resilience in Hardship,Deception
Resistance to Logic and Reason,Awareness
Resisting Temptation,Growth
Resourcefulness,Values
Respect for Diversity,Values
Respect for Others’ Choices,Deception
Respect for the Concern of Others,Values
Respectful Rebuttal,Deception
Respecting Differences,Growth
Respecting Freedom and Natural Habits,Values
Responsibility,Growth
Responsibility and Accountability,Values
Responsibility and Discipline,Values
Responsibility and Maturity,Values
Responsibility and Stewardship,Values
Responsibility for One's Actions,Values
Retribution,Growth
Retribution and Blame,Emotions
Revenge,Growth
Revenge and Its Pitfalls,Emotions
Risk Assessment,Collaboration
Risk Management and Lesser of Two Evils,Power
Risk and Consequence,Awareness
Risk of Ambition,Awareness
Risk-Taking,Values
Role Evaluation,Collaboration
Role Modeling,Collaboration
Rural vs Urban Life,Choices
Sacrifice and Vulnerability in Love,Emotions
Scale of Response to Threats,Awareness
Seeking Attention at the Cost of Credibility,Deception
Self Identity,Awareness
Self-Acceptance,Awareness
Self-Control,Emotions
Self-Deception,Emotions
Self-Delusion,Emotions
Self-Destruction,Emotions
Self-Loss,Emotions
Self-Preservation,Values
Self-Preservation and Fear,Values
Self-Reliance,Values
Self-Righteousness,Values
Self-awareness,Values
Self-awareness and Humility,Values
Self-destruction of Vices,Power
Self-interest and Manipulation,Emotions
Sensory Triggers,Growth
Severity of Small Wrongs,Deception
Shift in Power Dynamics,Awareness
Shifting Moral Responsibility,Awareness
Short-Term Gain vs Long-Term Loss,Power
Short-sightedness,Values
Short-sightedness and Consequences,Values
Short-term Gains vs Long-term Consequences,Power
Significance of Experience in Decision-Making,Values
Silence and Complacency in Injustice,Power
Simplicity vs Complexity,Choices
Simplicity vs Luxury,Choices
Situational Irony,Emotions
Skepticism,Growth
"Small Actions, Big Consequences",Deception
Social Commentary,Collaboration
Social Consequences of Deception,Awareness
Social Pressure and Conformity,Values
Societal Preferences,Collaboration
Societal Pressure,Growth
Societal Structures and Freedom,Awareness
Sowing and Reaping,Deception
Strategic Planning,Collaboration
Strength Beyond Physicality,Deception
Strength in Diversity,Values
Subjectivity of Perception,Awareness
Subjectivity of Truth,Awareness
Subtle Anthropomorphism,Power
Subtle Complexity,Growth
Subtle Details and Added Complexity,Emotions
Superficiality vs Substance,Choices
Surface Transformations,Collaboration
Survival Instinct,Growth
Survival Instincts,Growth
Survival Strategies,Collaboration
Survival and Interdependence,Power
Sustainability,Growth
Swift Justice,Growth
Symbolism,Collaboration
Symbolism of the Arrow,Deception
Symbolism of the Sun and the Wind,Deception
Teachable Moment,Deception
Temptation and Testing,Emotions
The Absurdity of Overreaction,Power
The Abuse of Trust,Emotions
The Consequences of Arrogance,Emotions
The Consequences of Ignorance,Awareness
The Cost of Conformity,Awareness
The Cost of Revenge,Emotions
The Cycle of Fear,Emotions
The Cycle of Negativity,Awareness
The Danger of Exaggeration,Power
The Danger of Illusions,Emotions
The Danger of Theoretical Knowledge without Practical Application,Awareness
The Dangers of Crying Wolf,Emotions
The Dangers of Pranksterism,Power
The Deceptive Nature of Excuses,Power
The Fragility of Individualism,Power
The Futility of Certain Actions,Power
The Human Condition,Awareness
The Illusion of Independence,Emotions
The Illusion of Invulnerability,Power
The Illusion of Power,Emotions
The Illusion of Safety,Emotions
The Impact of Past Injuries,Power
The Importance of Inner Qualities,Values
The Inevitable Consequences of False Pretences,Power
The Irony of Desperation,Emotions
The Irony of Misplaced Value,Deception
The Limitations of Forgiveness,Awareness
The Long-Term Effects of Negligence,Power
The Paradox of Choice,Awareness
The Power Dynamics,Growth
The Power of Art and Narration,Awareness
The Power of Indirect Solutions,Awareness
The Power of Personal Stories,Awareness
The Power of Perspective,Awareness
The Power of Persuasion,Emotions
The Power of Subtlety,Emotions
The Power of Unity,Awareness
The Power of Unity and Group Dynamics,Awareness
The Predatory Nature of Power,Emotions
The Price of Comfort and Security,Emotions
The Price of Ignorance,Emotions
The Reality of Hardship and Struggle,Emotions
The Reward of Courage,Deception
The Risk of Unchecked Competition,Power
The Role of Each Character,Awareness
The Role of Effort in Success,Awareness
The Role of Fear in Maintaining Power,Awareness
The Role of Information,Awareness
The Role of Observation,Awareness
The Strength of Collective Effort,Values
The Use of Irony,Emotions
The Value of Authenticity,Awareness
The Value of Freedom,Awareness
Tit for Tat,Deception
Transient Nature of Material Possessions,Awareness
True Measure of Character,Awareness
Trust and Deceit,Emotions
Tyranny,Deception
Underestimating the Consequences,Power
Underestimation and Respect,Power
Understand What You Ask For,Deception
Understand Your Role,Deception
Understanding Boundaries,Growth
Understanding Consequences,Growth
Understanding Consequences of Actions,Awareness
Understanding Context,Awareness
Understanding Differences,Growth
Understanding Different Perspectives,Awareness
Understanding Intentions,Growth
Understanding Limitations,Growth
Understanding Limits,Growth
Understanding One's Adversaries,Deception
Understanding Risk,Growth
Understanding Strengths and Limitations,Values
Understanding Your Limitations,Deception
Understanding beyond Face Value,Deception
Understanding limits,Growth
Understanding of One's Predicament,Power
Understanding of Reality,Awareness
Understanding the Full Picture,Awareness
Understanding the Nature of Annoyances,Awareness
Understanding the Process,Awareness
Unexpected Alliances,Growth
Unexpected Rewards,Growth
Unforeseen Consequences,Power
Unintended Consequences,Power
Unintended Discovery,Deception
Unintended Harm,Power
Unintended Power,Deception
Universal Application,Growth
Universal Language of Kindness,Deception
Unjust Distribution of Rewards,Awareness
Unpredictability of Change,Power
Unpredictability of Circumstances,Power
Unpredictability of Life,Power
Unrealistic Expectations,Power
Unreciprocated Love,Deception
Unsuccessful Reconciliation,Growth
Unutilized Wealth is Useless,Deception
Unwanted Help,Growth
Use and Disposal,Collaboration
Valor vs. Cowardice,Choices
Value What You Have,Deception
Value is Subjective,Awareness
Value of Authenticity,Awareness
Value of Certainty,Awareness
Value of Every Role,Awareness
Value of Focus,Awareness
Value of Heeding Advice,Values
Value of Humble Security,Awareness
Value of Intellect,Awareness
Value of Knowledge,Awareness
Value of Neutrality,Awareness
Value of Observation and Analytical Thinking,Awareness
Value of Patience,Awareness
Vanity and False Pride,Emotions
Vanity as Weakness,Emotions
Varying Degrees of Revenge,Emotions
Vengeance,Growth
Victim Blaming,Growth
Vigilance Against Potential Threats,Power
Vigilance and Observation,Values
Vigilance and Wisdom,Values
Voice as Identity,Growth
Vulnerability Hidden in Strength,Emotions
Vulnerability and Compensating for Weakness,Power
Warning Against Complacency,Power
Wisdom in the Proverb,Deception
Wisdom of Experience,Deception
Wisdom of the Fox,Deception
Wisdom vs. Innocence,Choices
,Growth
